Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag
LINCS_L1000_Chem_Pert_down,LJP007 HA1E 24H-INK-128-10,13/110,4.029498356952748e-11,4.69512111679188e-08,0,0,14.92626244976411,357.25701889391456,TPM1;TNC;NEDD9;ACTG2;KLK6;CNN1;PDLIM3;ACTC1;CSRP1;ANXA6;FILIP1L;MYL9;SCRG1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 SKBR3 3H-radicicol-3.33,10/53,6.457655605195021e-11,6.994104920973885e-08,0,0,25.53875968992248,599.2202520321238,CNN1;PCP4;SH3BGRL;NRN1;PLN;NOV;SEMA3C;PEG10;FILIP1L;ACTG2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 24H-BI-2536-0.37,13/115,7.124633507898539e-11,6.994104920973885e-08,0,0,14.19098260773236,331.57057357756014,SYNM;TAGLN;TPM2;TGFB1I1;PLAT;SORBS2;SULF1;ACTG2;ACTA2;PLA2G16;CNN1;CSRP1;CRYAB,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 MCF10A 3H-radicicol-10,12/92,7.12803698431067e-11,6.994104920973885e-08,0,0,16.626404494382022,388.4659675657956,EGR2;SPARC;LGALS1;PLN;SEMA3C;TPM2;TNC;PLAT;MYH11;FILIP1L;ACTG2;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 HEPG2 24H-PD-184352-3.33,13/118,9.896274017531231e-11,9.224811825441737e-08,0,0,13.7834274952919,317.51886341870375,EGR2;SPARC;TNFAIP6;TNC;SULF1;ACTG2;PDLIM3;BAG2;CALD1;PMP22;SPARCL1;GYG1;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP007 HA1E 24H-GSK-1059615-10,16/203,1.07271398741535e-10,9.256974678053273e-08,0,0,9.649271620874057,221.5053894671036,SLC12A2;SPARC;NRN1;SERPINE2;MCAM;TNC;NEDD9;WFDC2;RCAN1;PCP4;MAL;MYL9;CRYAB;GYG1;SCRG1;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-JNK-9L-0.37,15/173,1.0923855759114517e-10,9.256974678053273e-08,0,0,10.66112115732369,244.5393282014964,SLC12A2;SEMA3C;TPM1;FN1;NEDD9;PLAT;MYLK;CNN1;AZGP1;SH3BGRL;CSRP1;STMN1;PLP1;COL9A3;FILIP1L,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 24H-withaferin-a-3.33,14/146,1.2150633324875102e-10,9.534212554814885e-08,0,0,11.858298898071626,270.73747113474104,CYFIP2;SPARC;SERPINE2;TGFB1I1;LAMA4;TPM1;FHL1;SULF1;MYLK;ACTA2;CALD1;STMN1;RAMP1;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 HS578T 24H-dasatinib-1.11,11/75,1.227383475382488e-10,9.534212554814885e-08,0,0,18.960020949720672,432.68599880272143,CPM;ACTA1;ACTC1;CSRP1;PPP1R1A;TPM2;MCAM;STMN1;TPM1;FILIP1L;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-QL-X-138-10,15/176,1.3943602696782846e-10,1.0398023403044904e-07,0,0,10.460869565217392,237.39285647911055,SYNM;SPARC;MCAM;LAMA4;TPM1;PLAT;ACTG2;ACTA2;SH3BGRL;COL4A2;STMN1;ALDH1A1;SPARCL1;MYH11;ITGA6,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 24H-radicicol-3.33,13/122,1.5116897386672466e-10,1.0662482838898601e-07,0,0,13.274918364173535,300.18072263272575,GPM6A;SPARC;TNFAIP6;TPM2;WFDC1;NEDD9;SULF1;ACTG2;CNN1;PLN;DES;CSRP1;MYH11,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 HME1 24H-QL-X-138-10,14/149,1.597031784283341e-10,1.0662482838898601e-07,0,0,11.593013468013469,261.51176811592643,CPM;SYNM;SPARC;SEMA3C;TPM2;MCAM;TPM1;FHL1;TNC;FN1;PLAT;LDHB;ITGA6;FILIP1L,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 HS578T 24H-CYT387-3.33,11/77,1.646937765802994e-10,1.0662482838898601e-07,0,0,18.383612662942276,414.1264156434564,PLA2G16;CNN1;SYNM;TAGLN;PDLIM3;CALD1;TPM2;MCAM;FHL1;MYH11;FILIP1L,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 HS578T 24H-withaferin-a-1.11,10/58,1.6585957320606094e-10,1.0662482838898601e-07,0,0,22.872685185185187,515.0901171881551,PDLIM3;EGR2;PLN;CKM;CALD1;NEDD9;FILIP1L;SULF1;SOX4;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 HEPG2 24H-trametinib-10,12/102,2.4440060366580886e-10,1.518786818047225e-07,0,0,14.771535580524343,326.92676321770966,ACTA2;RCAN1;TAGLN;SPARC;CALD1;MCAM;FN1;PLAT;ITGA6;FILIP1L;ACTG2;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
