group,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000011465,159.9256,7.5213885,0.0,0.0
0,ENSG00000164692,144.08307,6.161496,0.0,0.0
0,ENSG00000197766,141.0804,6.7584925,0.0,0.0
0,ENSG00000108821,139.22351,6.218292,0.0,0.0
0,ENSG00000139329,135.80615,6.523178,0.0,0.0
0,ENSG00000142173,133.70676,5.214526,0.0,0.0
0,ENSG00000077942,129.3596,6.6814246,0.0,0.0
0,ENSG00000142156,128.95512,5.011525,0.0,0.0
0,ENSG00000132386,128.62846,4.8192286,0.0,0.0
0,ENSG00000182326,128.24577,5.1238556,0.0,0.0
0,ENSG00000166482,128.13643,5.702912,0.0,0.0
0,ENSG00000197956,126.94401,3.2061079,0.0,0.0
0,ENSG00000143387,125.40935,6.2937446,0.0,0.0
0,ENSG00000189058,124.31056,5.918286,0.0,0.0
0,ENSG00000159403,122.94277,4.8151355,0.0,0.0
0,ENSG00000168542,121.054695,5.5629563,0.0,0.0
0,ENSG00000109610,120.96077,4.314472,0.0,0.0
0,ENSG00000091986,120.22234,5.2896776,0.0,0.0
0,ENSG00000087245,118.40413,6.5749316,0.0,0.0
0,ENSG00000100097,116.86843,3.479069,0.0,0.0
0,ENSG00000149131,116.16521,3.8711362,0.0,0.0
0,ENSG00000145824,116.156784,4.119525,0.0,0.0
0,ENSG00000102265,115.85321,3.519285,0.0,0.0
0,ENSG00000106333,114.3028,4.4624715,0.0,0.0
0,ENSG00000148180,113.95372,3.5662236,0.0,0.0
0,ENSG00000143196,112.94671,7.2609267,0.0,0.0
0,ENSG00000101439,109.926956,3.0915425,0.0,0.0
0,ENSG00000163520,108.7307,5.5790887,0.0,0.0
0,ENSG00000189129,108.291725,3.9327335,0.0,0.0
0,ENSG00000145423,106.92487,7.0512652,0.0,0.0
0,ENSG00000107317,105.27181,6.6432977,0.0,0.0
0,ENSG00000250722,105.15852,2.986998,0.0,0.0
0,ENSG00000197747,104.536606,2.3316135,0.0,0.0
0,ENSG00000026025,102.91465,3.211623,0.0,0.0
0,ENSG00000198832,102.29623,3.026227,0.0,0.0
0,ENSG00000000971,102.202065,4.6934648,0.0,0.0
0,ENSG00000214548,101.90784,5.643096,0.0,0.0
0,ENSG00000113140,100.1359,3.3394897,0.0,0.0
0,ENSG00000162576,98.98868,5.0622144,0.0,0.0
0,ENSG00000107562,95.866936,4.3599668,0.0,0.0
0,ENSG00000109099,95.866,3.0001054,0.0,0.0
0,ENSG00000233608,95.31707,5.912704,0.0,0.0
0,ENSG00000163430,91.37855,3.8874168,0.0,0.0
0,ENSG00000166033,90.996284,4.305247,0.0,0.0
0,ENSG00000154096,89.65623,4.5005145,0.0,0.0
0,ENSG00000035862,88.65236,3.5804408,0.0,0.0
0,ENSG00000162407,85.46363,3.506034,0.0,0.0
0,ENSG00000163359,85.11022,4.471091,0.0,0.0
0,ENSG00000106624,83.838295,3.7025054,0.0,0.0
0,ENSG00000140092,81.66912,5.8657546,0.0,0.0
0,ENSG00000116774,81.19466,4.9905767,0.0,0.0
0,ENSG00000123384,80.22827,4.3937855,0.0,0.0
0,ENSG00000111341,79.38046,3.0985162,0.0,0.0
0,ENSG00000196154,79.18427,2.3820143,0.0,0.0
0,ENSG00000038427,79.10975,5.753763,0.0,0.0
0,ENSG00000166741,76.18308,2.93508,0.0,0.0
0,ENSG00000105894,75.983826,4.165418,0.0,0.0
0,ENSG00000184347,75.2603,4.0606766,0.0,0.0
0,ENSG00000141753,74.64036,2.7998004,0.0,0.0
0,ENSG00000160932,74.10606,2.287042,0.0,0.0
0,ENSG00000101955,73.112976,4.073159,0.0,0.0
0,ENSG00000142552,72.48342,5.0224776,0.0,0.0
0,ENSG00000064205,71.93693,5.3362904,0.0,0.0
0,ENSG00000164932,71.32359,4.249714,0.0,0.0
0,ENSG00000189409,69.25575,6.6824484,0.0,0.0
0,ENSG00000104213,68.91497,5.690811,0.0,0.0
0,ENSG00000142089,68.71936,1.863789,0.0,0.0
0,ENSG00000143369,68.15371,4.0116763,0.0,0.0
0,ENSG00000115414,67.2153,3.2080555,0.0,0.0
0,ENSG00000116132,66.596054,2.6595178,0.0,0.0
0,ENSG00000051523,66.2771,2.007458,0.0,0.0
0,ENSG00000186340,65.765724,4.4352655,0.0,0.0
0,ENSG00000022267,65.58638,2.5284486,0.0,0.0
0,ENSG00000106565,65.52546,3.6464014,0.0,0.0
