Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag,direction
LINCS_L1000_Chem_Pert_down,LJP008 A375 24H-GSK-1070916-3.33,7/70,4.521227455840225e-06,0.0002736663748676276,0,0,11.989678202792955,147.5536969387258,GPM6A;SPARC;NRN1;STMN1;TPM1;ALDH1A1;LPL,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 HT29 24H-ON-01910-10,7/70,4.521227455840225e-06,0.0002736663748676276,0,0,11.989678202792955,147.5536969387258,MME;NOV;ARPP21;PEG10;LPL;CRYAB;WFDC2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 3H-CYT387-1.11,2/10,0.0038423535472882,0.0383474288983379,0,0,26.33244680851064,146.45238463401463,S100A6;MAL,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 3H-YM-201636-3.33,2/10,0.0038423535472882,0.0383474288983379,0,0,26.33244680851064,146.45238463401463,AZGP1;TPM2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 3H-NVP-BEZ235-0.04,2/10,0.0038423535472882,0.0383474288983379,0,0,26.33244680851064,146.45238463401463,SERPINE2;SERPINB9,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 A549 24H-everolimus-1.11,2/10,0.0038423535472882,0.0383474288983379,0,0,26.33244680851064,146.45238463401463,BAG2;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HCC515 24H-pelitinib-10,10/123,2.798418395894411e-07,3.34428936888843e-05,0,0,9.683874139626353,146.12037637179492,COL4A2;TPM2;MCAM;LAMA4;TPM1;SPARCL1;PLAT;FILIP1L;SOX4;WFDC2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 SKBR3 24H-radicicol-10,10/123,2.798418395894411e-07,3.34428936888843e-05,0,0,9.683874139626353,146.12037637179492,RCAN1;PDLIM3;SPARC;PLN;DES;TNFAIP6;MYH11;FXYD6;ACTG2;SNCA,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 HA1E 24H-PHA-767491-3.33,12/164,5.677989796170848e-08,8.765455903643084e-06,0,0,8.718805440567712,145.4652778423335,ACTA1;SYNM;SPARC;NRN1;SERPINE2;SEMA3C;STMN1;TPM1;MYH11;FILIP1L;GYG1;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,Phosgene 6371 mouse GSE2565 sample 3615,16/258,3.602862344642285e-09,1.1595879175904245e-07,0,0,7.435356701814382,144.5547640003757,SPARC;SEMA3C;TGFB1I1;FHL1;FN1;MFAP4;LDHB;ACTC1;CSRP1;COL4A2;ALDH1A1;PMP22;ITGA8;VIM;GPM6B;SOX4,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 HEPG2 24H-GSK-429286A-0.04,7/71,4.97579939874881e-06,0.00029355641832555084,0,0,11.801741803278688,144.11017833009583,SPARC;CALD1;TPM2;SH3BP5;FN1;MYL9;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 HCC515 24H-dasatinib-0.12,5/42,4.69430260737086e-05,0.0016358109067142,0,0,14.443389335281228,143.9511361033998,SERPINE2;TPM1;S100A6;PLAT;ITGA6,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 MDAMB231 24H-KIN001-043-1.11,5/42,4.69430260737086e-05,0.0016358109067142,0,0,14.443389335281228,143.9511361033998,TGFB1I1;STMN1;TPM1;CRYAB;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 MDAMB231 24H-withaferin-a-1.11,3/19,0.0007309943220142954,0.0118904642786505,0,0,19.84692513368984,143.31672765141573,NR4A2;SERPINE2;PLAT,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 24H-dasatinib-3.33,6/56,1.4861002673033882e-05,0.0007014017033756219,0,0,12.88695652173913,143.26133224908244,TAGLN;SERPINE2;TPM1;MAL;MYL9;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,candesartan DB00796 rat GSE2739 sample 2687,20/369,3.9457833892916444e-10,2.016991626643788e-08,0,0,6.560256194168212,142.0505618438249,CD151;NRN1;SERPINE2;PLLP;WFDC1;S100B;MT3;KLK6;NR4A1;RGCC;CSRP1;REEP2;STMN1;FXYD1;PMP22;PLP1;SPARCL1;MAL;MBP;CRYAB,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 3H-radicicol-0.37,4/30,0.00017823342023816168,0.0043606373405512,0,0,16.363937138130687,141.26032123578267,TAGLN;PEG10;FHL1;TNC,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 BT20 3H-afatinib-3.33,4/30,0.00017823342023816168,0.0043606373405512,0,0,16.363937138130687,141.26032123578267,RCAN1;AZGP1;MME;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HEPG2 24H-GDC-0941-1.11,4/30,0.00017823342023816168,0.0043606373405512,0,0,16.363937138130687,141.26032123578267,ACTA2;TAGLN;PDLIM3;ACTG2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 3H-XMD-1150-1.11,4/30,0.00017823342023816168,0.0043606373405512,0,0,16.363937138130687,141.26032123578267,MME;COL4A2;TNC;SORBS2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-linifanib-10,7/72,5.467772862930388e-06,0.0003165704642348175,0,0,11.619588062211012,140.79035596188652,AZGP1;SPARC;COL4A2;LAMA4;ITGA6;S100B;AURKB,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 HEPG2 24H-GDC-0879-10,10/126,3.506560390856357e-07,4.010601556241415e-05,0,0,9.43199233716475,140.1920411969423,ACTA2;PDLIM3;NRN1;CALD1;TNC;FN1;ITGA6;GYG1;ACTG2;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP008 HA1E 24H-GSK-1059615-10,9/107,8.38919924205513e-07,7.781086640280288e-05,0,0,10.001578531965272,139.93359124823886,RCAN1;PCP4;BAG2;TNC;PMP22;GYG1;CRYAB;SCRG1;WFDC2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HEPG2 24H-PD-0325901-0.12,9/107,8.38919924205513e-07,7.781086640280288e-05,0,0,10.001578531965272,139.93359124823886,SLC12A2;PDLIM3;TPM2;MCAM;TNC;S100A6;ITGA6;FILIP1L;ACTG2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 24H-TWS-119-3.33,6/57,1.6479202280574272e-05,0.000750878343505817,0,0,12.633631713554989,139.1393840423014,TAGLN;EGR2;SERPINE2;TGFB1I1;VIM;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 24H-LDN-193189-1.11,6/57,1.6479202280574272e-05,0.000750878343505817,0,0,12.633631713554989,139.1393840423014,CPM;TAGLN;SERPINE2;TPM1;ITGA6;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-withaferin-a-1.11,6/57,1.6479202280574272e-05,0.000750878343505817,0,0,12.633631713554989,139.1393840423014,PLA2G16;PCP4;PEG10;NEDD9;PLAT;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 HCC515 24H-AST1306-0.12,6/57,1.6479202280574272e-05,0.000750878343505817,0,0,12.633631713554989,139.1393840423014,SYNM;LGALS1;PMP22;FXYD6;SCRG1;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 HEPG2 24H-PD-0325901-0.37,6/57,1.6479202280574272e-05,0.000750878343505817,0,0,12.633631713554989,139.1393840423014,SLC12A2;SYNM;PDLIM3;CALD1;SPARCL1;MYH11,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 A375 24H-buparlisib-10,11/147,1.638682697672452e-07,2.092463118678597e-05,0,0,8.889829116003943,138.89649443273075,SOX2;PCP4;SYNM;SPARC;PEG10;PLP1;LPL;MBP;S100B;LTBP1;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-A443654-0.37,11/147,1.638682697672452e-07,2.092463118678597e-05,0,0,8.889829116003943,138.89649443273075,RCAN1;SYNM;SPARC;BAG2;CSRP1;STMN1;TPM1;TNC;ANXA6;MAL;GYG1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-AZD-7762-0.37,5/43,5.271305356223686e-05,0.0017803069883347,0,0,14.062588904694168,138.5256053573808,LGALS1;TPM1;MYH11;VIM;ACTG2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-afatinib-10,10/127,3.77521584780976e-07,4.1893660149236525e-05,0,0,9.350902184235515,138.2964591353955,EGR2;SERPINE2;COL4A2;SEMA3C;LAMA4;TPM1;FN1;MAL;NEDD9;PLAT,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 MCF10A 3H-erlotinib-3.33,9/108,9.077606133391662e-07,8.255307860722963e-05,0,0,9.900050226017076,137.73232159320713,PTPRE;AZGP1;EGR2;CSRP1;TGFB1I1;PLAT;MBP;GYG1;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 24H-BMS-387032-0.12,9/108,9.077606133391662e-07,8.255307860722963e-05,0,0,9.900050226017076,137.73232159320713,ACTA2;PLA2G16;ACTA1;ACTC1;PEG10;TPM2;TPM1;ALDH1A1;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 A375 24H-pelitinib-0.37,7/73,5.999543174850253e-06,0.0003399680346770008,0,0,11.442954131478722,137.58810346810031,SOX2;SPARC;COL4A2;SEMA3C;TPM2;TNC;WFDC2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HCC515 24H-BI-2536-0.12,7/73,5.999543174850253e-06,0.0003399680346770008,0,0,11.442954131478722,137.58810346810031,CALD1;FN1;WFDC1;SPARCL1;SORBS2;VIM;SULF1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 PC3 24H-SGI-1776-10,7/73,5.999543174850253e-06,0.0003399680346770008,0,0,11.442954131478722,137.58810346810031,ACTA2;PPP1R1A;STMN1;EFHD1;GYG1;CTNNAL1;AURKB,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HCC515 24H-XMD16-144-1.11,8/90,2.281700410509764e-06,0.00016543546190028784,0,0,10.575180916644332,137.37783522204373,SERPINE2;TNFAIP6;ALDH1A1;TNC;WFDC1;NEDD9;SERPINB9;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 HA1E 24H-GDC-0068-10,8/90,2.281700410509764e-06,0.00016543546190028784,0,0,10.575180916644332,137.37783522204373,MCAM;PLP1;PLAT;PMP2;MBP;GYG1;SCRG1;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-AZD-5438-3.33,10/128,4.061743304300412e-07,4.402504675701894e-05,0,0,9.271186440677964,136.4392612061364,CNN1;RCAN1;ACTC1;STMN1;TPM1;FN1;ITGA6;GYG1;SOX4;AURKB,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-withaferin-a-1.11,9/109,9.814321258801037e-07,8.83905271632018e-05,0,0,9.800552486187843,135.58332242867402,SPARC;PLN;ACTC1;CALD1;TPM1;ANXA6;SULF1;SOX4;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP008 HCC515 24H-dasatinib-0.04,6/58,1.823663413081936e-05,0.0008088587339760158,0,0,12.39005016722408,135.20119536827508,TAGLN;COL4A2;TPM1;PLAT;ITGA6;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HME1 24H-withaferin-a-10,6/58,1.823663413081936e-05,0.0008088587339760158,0,0,12.39005016722408,135.20119536827508,LGALS1;MME;MCAM;TNC;LPL;ITGA6,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 24H-XMD11-85H-0.12,6/58,1.823663413081936e-05,0.0008088587339760158,0,0,12.39005016722408,135.20119536827508,SPARC;SEMA3C;CALD1;FN1;SOX4;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 HEPG2 24H-AZ-628-0.04,6/58,1.823663413081936e-05,0.0008088587339760158,0,0,12.39005016722408,135.20119536827508,LDHB;NRN1;EFHD1;SPARCL1;NEDD9;ITGA6,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HCC515 24H-saracatinib-10,10/129,4.367149547710364e-07,4.652386801026533e-05,0,0,9.19281045751634,134.61937966197328,SYNM;SERPINE2;COL4A2;TPM1;TNC;PMP22;LPL;ITGA6;VIM;AURKB,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-XMD11-85H-10,7/74,6.573614401721433e-06,0.0003658265471381871,0,0,11.271592855395156,134.4976814162126,SPARC;TNFAIP6;FHL1;TPM1;VIM;WFDC2;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 HA1E 24H-vandetanib-10,7/74,6.573614401721433e-06,0.0003658265471381871,0,0,11.271592855395156,134.4976814162126,SLC12A2;LDHB;SPARC;NRN1;SERPINE2;COL4A2;TPM1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,VX 39793 human GSE33606 sample 3345,20/380,6.588019440458964e-10,2.846216510081881e-08,0,0,6.356209150326797,134.37406351081518,C11ORF96;SPARC;SEMA3C;TGFB1I1;NEXN;PLAT;LTBP1;ASPN;LGALS1;FMNL2;COL4A2;NOV;MPZ;PLP1;SPARCL1;ITGB8;CNTN4;CRYAB;GPM6B;CDH19,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,d-serine 71077 rat GSE10748 sample 3391,15/243,1.2035146395829556e-08,3.486180739325295e-07,0,0,7.361654135338346,134.242962544647,ARPP21;PLLP;SORBS2;MT3;OXR1;LDHB;PCP4;CSRP1;STMN1;ANXA6;PLP1;SPARCL1;MBP;VIM;BCAS1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 HEPG2 24H-veliparib-0.37,4/31,0.0002031267716559377,0.0047573888268602,0,0,15.757068896853845,133.9615619569919,GPM6A;INPP5A;LGALS1;COL9A3,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 HA1E 24H-GSK-429286A-3.33,4/31,0.0002031267716559377,0.0047573888268602,0,0,15.757068896853845,133.9615619569919,SYNM;CSRP1;FILIP1L;MYL9,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HS578T 3H-NU-7441-10,4/31,0.0002031267716559377,0.0047573888268602,0,0,15.757068896853845,133.9615619569919,AZGP1;TNFAIP6;MME;SULF1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 MDAMB231 3H-NVP-AUY922-0.04,4/31,0.0002031267716559377,0.0047573888268602,0,0,15.757068896853845,133.9615619569919,GPM6A;NRN1;SORBS2;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 3H-HG-6-64-01-10,4/31,0.0002031267716559377,0.0047573888268602,0,0,15.757068896853845,133.9615619569919,SERPINE2;PEG10;ALDH1A1;MAL,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HA1E 24H-XMD16-144-10,9/110,1.0602155995293594e-06,9.279624141796172e-05,0,0,9.70302499863246,133.4848862869458,TAGLN;SPARC;COL4A2;SEMA3C;TGFB1I1;TPM1;ALDH1A1;PLAT;COL9A3,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HT29 24H-AZD-5438-3.33,9/110,1.0602155995293594e-06,9.279624141796172e-05,0,0,9.70302499863246,133.4848862869458,NR4A2;AZGP1;SH3BGRL;SPARC;NRN1;CSRP1;STMN1;TPM1;PLP1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 A375 24H-WZ-3105-0.37,5/44,5.901591100913628e-05,0.0019234853652855,0,0,13.7013167013167,133.41935921741427,MIA;LAMA4;PLAT;COL9A3;ITGA6,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 MCF7 3H-radicicol-0.12,5/44,5.901591100913628e-05,0.0019234853652855,0,0,13.7013167013167,133.41935921741427,CPM;SERPINE2;LPL;ASPN;CES1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 A549 24H-JW-7-24-1-3.33,5/44,5.901591100913628e-05,0.0019234853652855,0,0,13.7013167013167,133.41935921741427,BAG2;FHL1;TNC;MBP;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-GW-843682X-3.33,5/44,5.901591100913628e-05,0.0019234853652855,0,0,13.7013167013167,133.41935921741427,SLC12A2;SPARC;FN1;MYH11;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HT29 24H-A443654-0.12,5/44,5.901591100913628e-05,0.0019234853652855,0,0,13.7013167013167,133.41935921741427,CPM;AZGP1;MBP;SULF1;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,Phosgene 6371 mouse GSE2565 sample 3617,18/324,2.1083975745505555e-09,7.328789969137732e-08,0,0,6.6703146374829005,133.25512755344587,SPARC;CKM;SEMA3C;MCAM;TGFB1I1;DSTN;ACTA1;MFAP4;PGRMC1;ACTC1;COL4A2;FXYD1;PRX;ALDH1A1;PMP22;ITGA8;SPARCL1;VIM,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 24H-JW-7-24-1-1.11,8/92,2.695945829279932e-06,0.0001873256146796229,0,0,10.322344322344325,132.3712812782521,SYNM;PDLIM3;BAG2;TPM1;ALDH1A1;LPL;CRYAB;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 A549 24H-KIN001-265-10,3/20,0.0008540047755220475,0.0132016675207773,0,0,18.678515256369927,131.9744274998882,NR4A2;TAGLN;PLAT,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 A375 24H-PHA-665752-10,6/59,2.014211806011549e-05,0.0008732779232435655,0,0,12.15566037735849,131.43547868695816,SPARC;SERPINE2;MIA;STMN1;PLAT;ITGA6,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HCC515 24H-NVP-AEW541-10,6/59,2.014211806011549e-05,0.0008732779232435655,0,0,12.15566037735849,131.43547868695816,RCAN1;TNFAIP6;TNC;S100A6;ITGA6;SCRG1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HCC515 24H-PIK-93-3.33,6/59,2.014211806011549e-05,0.0008732779232435655,0,0,12.15566037735849,131.43547868695816,MFAP4;BAG2;HSD17B6;FILIP1L;SULF1;GYG1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 MCF7 3H-TG-101348-0.37,6/59,2.014211806011549e-05,0.0008732779232435655,0,0,12.15566037735849,131.43547868695816,PEG10;PMP22;SERPINB9;MYH11;WFDC2;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 HCC515 24H-PD-0325901-0.12,6/59,2.014211806011549e-05,0.0008732779232435655,0,0,12.15566037735849,131.43547868695816,PDLIM3;PLN;CSRP1;PLAT;MYH11;FXYD6,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 24H-BMS-387032-0.12,9/111,1.1444050834860814e-06,9.923322777409776e-05,0,0,9.60740981475463,131.43537698545038,CNN1;AZGP1;PLN;DES;TPM2;LAMA4;STMN1;MYH11;LTBP1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,estradiol 5757 mouse GSE2195 sample 3622,16/272,7.663840336519945e-09,2.2965093973916665e-07,0,0,7.023706896551724,131.25027331735996,SPARC;WFDC2;MYLK;ACTA2;PCP4;SMTN;SH3BGRL;PGRMC1;STMN1;FXYD1;ANXA6;SPARCL1;MYH11;HADH;RAMP1;SOX4,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-JW-7-24-1-10,13/198,5.672657282936279e-08,8.765455903643084e-06,0,0,7.7912658421133,129.9974503933654,TAGLN;SERPINE2;TPM1;FHL1;TNC;LPL;ACTG2;PDLIM3;CSRP1;STMN1;ALDH1A1;GYG1;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,simvastatin 54454 mouse GSE1871 sample 3618,13/198,5.672657282936279e-08,1.1736998044932444e-06,0,0,7.7912658421133,129.9974503933654,PPP1R14A;TAGLN;FHL1;WFDC2;ACTA2;MFAP4;LDHB;RGCC;ACTC1;FXYD1;ALDH1A1;PMP22;MYL9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HA1E 24H-LDN-193189-1.11,8/93,2.9259432393560847e-06,0.00019835767204114723,0,0,10.20038784744667,129.97225718448178,SH3BGRL;TGFB2;PEG10;FHL1;TPM1;NEDD9;SULF1;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HA1E 24H-GSK-1059615-10,8/93,2.9259432393560847e-06,0.00019835767204114723,0,0,10.20038784744667,129.97225718448178,PCP4;TGFB2;SPARC;PEG10;ALDH1A1;NEDD9;CRYAB;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 MCF10A 3H-radicicol-3.33,8/93,2.9259432393560847e-06,0.00019835767204114723,0,0,10.20038784744667,129.97225718448178,EGR2;PLN;DES;CALD1;TNC;PLAT;MYH11;ACTG2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HEPG2 24H-radicicol-3.33,9/112,1.234307962959416e-06,0.00010425403225860428,0,0,9.513651236388991,129.43322601121372,ACTA2;PLA2G16;TAGLN;SERPINE2;MCAM;TNC;HADH;SULF1;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 24H-KIN001-043-1.11,9/112,1.234307962959416e-06,0.00010425403225860428,0,0,9.513651236388991,129.43322601121372,CNN1;RCAN1;DES;PEG10;TPM2;TPM1;EFHD1;NEDD9;BCAS1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 MCF10A 24H-PF-477736-3.33,10/132,5.407411725417082e-07,5.600576488719481e-05,0,0,8.965391621129326,129.37351571229314,SPARC;CALD1;MCAM;STMN1;PMP22;SPARCL1;LPL;ITGA6;CTNNAL1;AURKB,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
