Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag,direction
LINCS_L1000_Chem_Pert_down,LJP009 HA1E 24H-KIN001-220-10,14/94,2.699085519904168e-13,7.188435906796198e-10,0,0,19.617897727272727,567.7555591502386,SERPINE2;FHL1;TPM1;LMOD1;TNC;NEDD9;DSTN;SERPINB9;MYLK;ACTA2;PCP4;ALDH1A1;MYL9;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 24H-KIN001-043-3.33,14/94,2.699085519904168e-13,7.188435906796198e-10,0,0,19.617897727272727,567.7555591502386,TPM2;TPM1;FN1;ACTG2;CNN1;AZGP1;PLN;DES;CSRP1;PEG10;S100A6;EFHD1;MYH11;BCAS1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,acrylamide 6579 rat GSE29004 sample 3109,23/212,6.074128529147319e-18,1.7594725639430068e-15,0,0,14.297848746950544,566.8023709670953,MLIP;SPARC;SERPINE2;PLLP;SEMA3B;LPL;S100B;MT3;LDHB;PLA2G16;LGALS1;COL4A2;MPZ;PRX;PMP22;MAL;COL9A3;MYH11;MBP;VIM;CRYAB;CTNNAL1;BCAS1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP008 HT29 24H-CX-5461-10,9/47,5.201247653712129e-10,2.3650453660525665e-07,0,0,25.872055830183196,553.0657059648878,NR4A2;AZGP1;DES;ACTC1;LPL;NEDD9;MYH11;ACTG2;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 PC3 24H-celastrol-1.11,9/47,5.201247653712129e-10,2.3650453660525665e-07,0,0,25.872055830183196,553.0657059648878,PDLIM3;SPARC;PLN;FHL1;MYH11;SULF1;ACTG2;SOX4;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-CHIR-99021-10,16/121,3.482673564640254e-14,2.1642494421862756e-10,0,0,17.256704980842912,534.757521963306,SYNM;SPARC;PLLP;TPM2;MCAM;LAMA4;TPM1;PLAT;AURKB;MYLK;ACTA2;AZGP1;SH3BGRL;COL4A2;STMN1;CDH19,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 A549 24H-dasatinib-1.11,9/49,7.714855109807872e-10,3.060171144939322e-07,0,0,24.575966850828728,515.6702188891538,ACTA2;TAGLN;SPARC;TPM1;FN1;FILIP1L;CTNNAL1;RAMP1;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 PC3 24H-quizartinib-10,9/49,7.714855109807872e-10,3.060171144939322e-07,0,0,24.575966850828728,515.6702188891538,PDLIM3;PLN;CALD1;ALDH1A1;TNC;DSTN;MYH11;ACTG2;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HS578T 24H-withaferin-a-1.11,10/58,1.6585957320606094e-10,1.0662482838898601e-07,0,0,22.872685185185187,515.0901171881551,PDLIM3;EGR2;PLN;CKM;CALD1;NEDD9;FILIP1L;SULF1;SOX4;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 A549 24H-BMS509744-3.33,2/5,0.0008810115609596226,0.0133808309497554,0,0,70.23758865248227,494.0820897453679,PLN;FHL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HEPG2 24H-BX-912-3.33,7/34,2.7068491007747866e-08,5.256644561015036e-06,0,0,28.026917628010523,488.3661102653424,GPM6A;MME;ALDH1A1;COL9A3;SCRG1;GPM6B;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 MCF7 24H-ibrutinib-10,7/34,2.7068491007747866e-08,5.256644561015036e-06,0,0,28.026917628010523,488.3661102653424,PDLIM3;PLN;DES;FILIP1L;SULF1;LTBP1;ACTG2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HCC515 24H-KIN001-043-1.11,10/61,2.7967024431420987e-10,1.533497754338181e-07,0,0,21.5239651416122,473.4714840153832,TAGLN;LGALS1;COL4A2;SEMA3C;PEG10;MCAM;STMN1;TPM1;NEDD9;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 A549 24H-AS-601245-0.04,7/35,3.3565372732713783e-08,6.185669285858227e-06,0,0,27.024590163934427,465.08700470707225,PLN;DUSP3;DES;CSRP1;FHL1;FN1;ACTG2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-NVP-TAE684-3.33,13/94,5.224019355331171e-12,8.115949403453251e-09,0,0,17.88916788728465,464.7204029783739,TAGLN;SEMA3C;TGFB1I1;FHL1;TPM1;FN1;ASPN;MYLK;ACTA2;LGALS1;CALD1;PMP22;MYL9,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HCC515 24H-CHIR-99021-10,12/84,2.371248227887696e-11,2.9471453808340213e-08,0,0,18.4812734082397,452.1447148348959,ACTA2;AZGP1;TAGLN;COL4A2;PEG10;MCAM;STMN1;TPM1;EFHD1;NEDD9;MYL9;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 A375 24H-pelitinib-0.12,10/63,3.899169969663521e-10,2.019228492901028e-07,0,0,20.70964360587002,448.67623517673553,SYNM;SEMA3C;LAMA4;PLP1;PMP2;MYH11;COL9A3;S100B;GPM6B;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP008 PC3 24H-dasatinib-3.33,9/54,1.9170996494217e-09,6.382230136458707e-07,0,0,21.83977900552486,438.37792434613135,DES;ACTC1;TNFAIP6;MCAM;FHL1;STMN1;TNC;MAL;CRYAB,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HS578T 24H-dasatinib-1.11,11/75,1.227383475382488e-10,9.534212554814885e-08,0,0,18.960020949720672,432.68599880272143,CPM;ACTA1;ACTC1;CSRP1;PPP1R1A;TPM2;MCAM;STMN1;TPM1;FILIP1L;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 HA1E 24H-SYK-inhibitor-3.33,13/99,1.029479532773865e-11,1.4763528407310129e-08,0,0,16.84482985153068,426.163796195666,SERPINE2;TPM1;ACTG2;CNN1;RCAN1;MFAP4;AZGP1;PDLIM3;ACTC1;PPP1R1A;CSRP1;MYH11;MYL9,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 MCF10A 24H-PF-477736-0.37,9/55,2.273547220030703e-09,7.366680024541548e-07,0,0,21.36392024981984,425.1831293982231,PDLIM3;PLN;DES;FHL1;SPARCL1;ITGA6;MYH11;ACTG2;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP008 A549 24H-BIX-01294-1.11,1/2,0.0189100751489901,0.1113872135869269,0,0,104.8095238095238,415.89052330713866,ACTC1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 A549 24H-pazopanib-10,1/2,0.0189100751489901,0.1113872135869269,0,0,104.8095238095238,415.89052330713866,CPM,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 24H-WH-4-025-0.04,10/66,6.280218484697277e-10,2.6609571184138937e-07,0,0,19.59722222222222,415.23468793148174,ACTA2;CNN1;TAGLN;CSRP1;COL4A2;TPM1;EFHD1;MYL9;ACTG2;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HS578T 24H-CYT387-3.33,11/77,1.646937765802994e-10,1.0662482838898601e-07,0,0,18.383612662942276,414.1264156434564,PLA2G16;CNN1;SYNM;TAGLN;PDLIM3;CALD1;TPM2;MCAM;FHL1;MYH11;FILIP1L,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HS578T 24H-withaferin-a-3.33,15/127,1.222810085118771e-12,2.5329831574299156e-09,0,0,15.075,413.5052835772932,SPARC;SERPINE2;TGFB1I1;TPM1;SULF1;MYLK;ACTA2;PCP4;PLN;DES;CALD1;STMN1;MYH11;FILIP1L;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 MCF7 3H-geldanamycin-1.11,7/38,6.149673992082523e-08,9.24583647051568e-06,0,0,24.40560549973559,405.2375481166652,ACTA2;TAGLN;PDLIM3;NRN1;ACTG2;MYLK;CES1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 MCF7 3H-withaferin-a-3.33,7/38,6.149673992082523e-08,9.24583647051568e-06,0,0,24.40560549973559,405.2375481166652,PCP4;LGALS1;SERPINE2;VIM;SOX4;MYLK;CES1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 SKBR3 24H-radicicol-3.33,16/144,5.540552359424532e-13,1.2911564704593943e-09,0,0,14.139367816091951,399.0343386252719,NRN1;TPM2;TPM1;FHL1;NEDD9;PLAT;SULF1;ACTG2;CNN1;RCAN1;PLN;DES;MYH11;FXYD6;FILIP1L;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-saracatinib-10,10/68,8.51391194849829e-10,3.2433462952459133e-07,0,0,18.919540229885055,395.1185048263961,GPM6A;AZGP1;SH3BGRL;COL4A2;FHL1;TPM1;LPL;PLAT;ITGA6;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 MCF10A 3H-radicicol-10,12/92,7.12803698431067e-11,6.994104920973885e-08,0,0,16.626404494382022,388.4659675657956,EGR2;SPARC;LGALS1;PLN;SEMA3C;TPM2;TNC;PLAT;MYH11;FILIP1L;ACTG2;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 LNCAP 3H-withaferin-a-3.33,7/39,7.435071559642029e-08,1.0581071685985214e-05,0,0,23.6417349726776,388.0666094924792,CPM;SH3BGRL;PCP4;SPARC;TNFAIP6;PEG10;SULF1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 3H-erlotinib-3.33,5/23,2.1494023077589925e-06,0.00016092894467289515,0,0,29.71771771771772,387.8257481998512,NR4A2;NR4A1;EGR2;AZGP1;COL4A2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 SKBR3 3H-AKT-inhibitor-1-2-10,5/23,2.1494023077589925e-06,0.00016092894467289515,0,0,29.71771771771772,387.8257481998512,ITGA6;WFDC2;ACTG2;GPM6B;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 MDAMB231 3H-AZD-8330-0.04,6/31,4.103820366806279e-07,4.4224001790965e-05,0,0,25.806521739130435,379.5152845614845,PLA2G16;AZGP1;SPARC;LGALS1;MCAM;SNCA,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 HT29 24H-XMD-885-1.11,7/40,8.940254873971924e-08,1.262675542541353e-05,0,0,22.92415962907766,372.06178478642255,GPM6A;SERPINE2;PEG10;LPL;MAL;GPM6B;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 LNCAP 3H-XMD-1150-3.33,8/50,2.1843551150282745e-08,4.627605955621832e-06,0,0,20.68864468864469,364.9344536611532,PLA2G16;SYNM;AZGP1;SPARC;TNFAIP6;MME;PLLP;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 3H-A443654-0.04,4/17,1.7048076865549197e-05,0.0007733024258015418,0,0,32.74937965260546,359.5709347192278,MAL;MBP;COL9A3;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 HA1E 24H-INK-128-10,13/110,4.029498356952748e-11,4.69512111679188e-08,0,0,14.92626244976411,357.25701889391456,TPM1;TNC;NEDD9;ACTG2;KLK6;CNN1;PDLIM3;ACTC1;CSRP1;ANXA6;FILIP1L;MYL9;SCRG1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,CPC002 PC3 24H-baccatin iii-10.0,2/6,0.0013132569921092,0.0178317917726818,0,0,52.67553191489362,349.51505838399027,DUSP3;MYL9,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 HA1E 24H-SYK-inhibitor-1.11,11/86,5.599524783969921e-10,2.485522393989316e-07,0,0,16.170204841713222,344.47660967385065,CNN1;RCAN1;AZGP1;PDLIM3;ACTC1;SERPINE2;TPM1;ITGA6;SORBS2;MYL9;ACTG2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 HA1E 24H-ZM-447439-10,10/75,2.291838445654722e-09,7.366680024541548e-07,0,0,16.876068376068375,335.7310111931785,ACTA2;CNN1;RCAN1;AZGP1;SERPINE2;MAL;PLAT;FILIP1L;MYL9;CRYAB,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,rosiglitazone DB00412 mouse GSE11343 sample 2815,21/248,2.7109815805038372e-14,4.711685986915669e-12,0,0,10.719782081693298,334.87399171239383,GPM6A;MLIP;EGR2;CD151;LDHB;DYNC1LI2;PCP4;FMNL2;CSRP1;COL4A2;MPZ;STMN1;PRX;ALDH1A1;S100A6;PMP22;CASQ2;PLP1;EFHD1;MBP;FXYD6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 24H-BI-2536-0.37,13/115,7.124633507898539e-11,6.994104920973885e-08,0,0,14.19098260773236,331.57057357756014,SYNM;TAGLN;TPM2;TGFB1I1;PLAT;SORBS2;SULF1;ACTG2;ACTA2;PLA2G16;CNN1;CSRP1;CRYAB,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 24H-NU-7441-10,8/53,3.519524210459451e-08,6.309085563038033e-06,0,0,19.306471306471305,331.3445130260829,AZGP1;TAGLN;CSRP1;PPP1R1A;TPM1;LPL;PLAT;SORBS2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 24H-radicicol-0.04,8/53,3.519524210459451e-08,6.309085563038033e-06,0,0,19.306471306471305,331.3445130260829,GPM6A;SYNM;TAGLN;CSRP1;MYH11;FXYD6;ACTG2;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HEPG2 24H-trametinib-10,12/102,2.4440060366580886e-10,1.518786818047225e-07,0,0,14.771535580524343,326.92676321770966,ACTA2;RCAN1;TAGLN;SPARC;CALD1;MCAM;FN1;PLAT;ITGA6;FILIP1L;ACTG2;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP008 HT29 24H-LY2603618-10,6/34,7.320744188484653e-07,7.035084221954607e-05,0,0,23.03804347826087,325.4672790636281,PEG10;PLAT;MBP;ITGA6;SULF1;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP008 HCC515 24H-GSK-461364-0.37,6/34,7.320744188484653e-07,7.035084221954607e-05,0,0,23.03804347826087,325.4672790636281,CNN1;SYNM;DES;TNFAIP6;FHL1;ACTG2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP008 HCC515 24H-GSK-1059615-1.11,9/65,1.0534292641722794e-08,2.517830996405616e-06,0,0,17.540055248618785,322.1867839116345,SYNM;AZGP1;PLN;DES;TNC;MYH11;GYG1;SCRG1;KLK6,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 A375 24H-pelitinib-3.33,8/54,4.09828282902195e-08,7.140587549668806e-06,0,0,18.885809842331582,321.24975347417995,SYNM;PLN;DES;TPM2;FHL1;MYH11;COL9A3;SULF1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-afatinib-10,15/148,1.158305297276341e-11,1.5424489755087733e-08,0,0,12.681203007518796,319.3314350123752,TGFB2;SERPINE2;TGFB1I1;TPM1;TNC;NEDD9;PLAT;ACTG2;CNN1;CALD1;STMN1;ANXA6;FILIP1L;MYL9;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HEPG2 24H-PD-184352-3.33,13/118,9.896274017531231e-11,9.224811825441737e-08,0,0,13.7834274952919,317.51886341870375,EGR2;SPARC;TNFAIP6;TNC;SULF1;ACTG2;PDLIM3;BAG2;CALD1;PMP22;SPARCL1;GYG1;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 PC3 24H-BI-2536-0.12,5/26,4.105758716001846e-06,0.0002517883544158632,0,0,25.46846846846847,315.8884707542569,ACTA2;TAGLN;CALD1;MYH11;FXYD6,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 BT20 24H-PD-0325901-10,5/26,4.105758716001846e-06,0.0002517883544158632,0,0,25.46846846846847,315.8884707542569,SERPINE2;FHL1;FN1;PMP22;LPL,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-dasatinib-0.04,9/66,1.20984642791905e-08,2.8550844247714994e-06,0,0,17.23146263448677,314.13279147735545,ACTA2;TAGLN;SPARC;COL4A2;TPM2;TPM1;FILIP1L;SULF1;MYL9,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 PC3 24H-OSI-930-10,6/35,8.765952922759202e-07,8.050426617684719e-05,0,0,22.242503748125937,310.2211024547098,ACTA2;PLN;MYH11;SULF1;ACTG2;ASPN,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 24H-canertinib-10,11/92,1.171025707525925e-09,4.280672993216829e-07,0,0,14.967859852403611,307.8198124514068,TAGLN;TGFB2;COL4A2;CALD1;FHL1;STMN1;TPM1;ALDH1A1;FILIP1L;SOX4;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 A549 24H-KIN001-043-0.37,9/67,1.38622260579122e-08,3.151627809727526e-06,0,0,16.933511144979995,306.39661430433057,SYNM;TAGLN;SH3BGRL;TGFB2;TPM2;TPM1;FN1;CRYAB;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
