group,names,scores,logfoldchanges,pvals,pvals_adj
7,ENSG00000147138,-0.28000033,-22.394775,0.7794772529741381,0.999709677554118
7,ENSG00000268027,-0.28533366,-22.212605,0.7753885211799747,0.999709677554118
7,ENSG00000205056,-0.28620413,-3.6574929,0.7747217806593736,0.999709677554118
7,ENSG00000159496,-0.286667,-22.346823,0.7743673055328608,0.999709677554118
7,ENSG00000168671,-0.28981465,-5.831689,0.7719580486392466,0.999709677554118
7,ENSG00000278071,-0.29060972,-3.4835413,0.7713498300202879,0.999709677554118
7,ENSG00000164855,-0.29180685,-0.80125934,0.7704343071172381,0.999709677554118
7,ENSG00000124253,-0.29353118,-1.7823734,0.7691161628487567,0.999709677554118
7,ENSG00000188467,-0.294667,-22.236135,0.76824826526218,0.999709677554118
7,ENSG00000070371,-0.29549426,-3.2639308,0.7676163420527511,0.999709677554118
7,ENSG00000138755,-0.29553345,-3.4924393,0.7675864005543294,0.999709677554118
7,ENSG00000052850,-0.29600036,-22.180305,0.7672298163111609,0.999709677554118
7,ENSG00000139187,-0.29621142,-1.4790535,0.7670686210909365,0.999709677554118
7,ENSG00000187140,-0.298667,-22.059658,0.7651941256679836,0.999709677554118
7,ENSG00000111341,-0.30008477,-0.19161503,0.7641124848023978,0.999709677554118
7,ENSG00000145040,-0.3013337,-21.74598,0.763160055696677,0.999709677554118
7,ENSG00000186526,-0.30278563,-2.130437,0.7620532355842592,0.999709677554118
7,ENSG00000057149,-0.304419,-2.4388928,0.7608086924158293,0.999709677554118
7,ENSG00000224079,-0.3053337,-21.770237,0.7601120182836293,0.999709677554118
7,ENSG00000077498,-0.30565384,-2.1890507,0.7598682282712548,0.999709677554118
7,ENSG00000180660,-0.30666703,-22.125635,0.7590968303866459,0.999709677554118
7,ENSG00000175779,-0.30800036,-22.627918,0.7580820575047722,0.999709677554118
7,ENSG00000135426,-0.30800036,-22.381693,0.7580820575047722,0.999709677554118
7,ENSG00000012779,-0.31195462,-1.2900804,0.7550750027743738,0.999709677554118
7,ENSG00000122188,-0.312125,-3.172154,0.7549455240600371,0.999709677554118
7,ENSG00000135298,-0.31248787,-5.5579743,0.7546697840865336,0.999709677554118
7,ENSG00000088827,-0.3133337,-22.305056,0.754027148768946,0.999709677554118
7,ENSG00000090659,-0.31382874,-5.441055,0.7536511161625934,0.999709677554118
7,ENSG00000203785,-0.3185002,-1.1744168,0.7501055543181268,0.999709677554118
7,ENSG00000261366,-0.32045773,-2.1416233,0.7486213765123446,0.999709677554118
7,ENSG00000218336,-0.32076782,-3.9661298,0.7483863558194188,0.999709677554118
7,ENSG00000189056,-0.32214487,-3.0863655,0.747342948550643,0.999709677554118
7,ENSG00000227039,-0.3223464,-2.8068328,0.7471902842925657,0.999709677554118
7,ENSG00000143520,-0.32401595,-3.3212984,0.7459259513224445,0.999709677554118
7,ENSG00000179477,-0.32444918,-4.8196454,0.7455979909776009,0.999709677554118
7,ENSG00000135502,-0.32490402,-3.818118,0.7452537202635923,0.999709677554118
7,ENSG00000146285,-0.32666704,-22.638563,0.7439197246357728,0.999709677554118
