ensembl_id_stripped	gene_symbol	source_map	present_in_hvg	present_in_raw	duplicated_symbol_in_raw	notes
ENSG00000254043	AC011632.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000222017	AC011997.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272181	AC012557.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000282863	AC012560.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259345	AC013652.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000254092	AC015468.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259590	AC015660.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000278607	AC015819.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000225335	AC016027.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000269600	AC016629.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000254089	AC016885.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000227544	AC018647.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000256967	AC018653.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000233005	AC018742.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000253932	AC019270.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000229056	AC020571.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000257764	AC020656.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000274104	AC020910.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000267519	AC020916.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000250267	AC021237.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000249451	AC021491.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000261481	AC022167.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000256234	AC022509.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000278095	AC022509.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000276900	AC023157.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000260470	AC023794.7	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259188	AC025040.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000257588	AC025154.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000276408	AC025287.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259342	AC025580.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259354	AC025580.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000256948	AC026369.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000249483	AC026726.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000258489	AC027013.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272576	AC027271.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000267092	AC027307.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000276101	AC027601.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000250509	AC034213.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000261616	AC036108.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000249328	AC036214.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000270058	AC040170.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259420	AC046168.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000254366	AC062004.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000261222	AC064805.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000257718	AC067735.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000264023	AC068418.1	10x_features / GTF	True	True	False	from raw.gene_symbol
