leiden,pct_counts_ribo
4,23.414448
1,18.960209
5,18.155458
19,16.941175
6,15.123982
8,14.595037
13,12.814234
3,11.423785
14,10.660675
2,10.0917425
12,9.433963
15,9.30851
0,7.910589
11,5.978261
7,5.970149
10,4.7244096
16,4.7224703
9,4.7191133
18,1.395022
17,0.5102041
