leiden,pct_counts_mt,pct_counts_ribo
0,0.78740156,7.910589
1,1.5384616,18.960209
2,1.1129036,10.0917425
3,1.1787071,11.423785
4,1.5352341,23.414448
5,2.4330196,18.155458
6,1.3614709,15.123982
7,1.0474861,5.970149
8,0.4626736,14.595037
9,0.8039135,4.7191133
10,2.785537,4.7244096
11,1.9021739,5.978261
12,2.9411764,9.433963
13,0.0,12.814234
14,2.1032395,10.660675
15,1.4705882,9.30851
16,1.5524583,4.7224703
17,0.048559405,0.5102041
18,0.10974631,1.395022
19,1.0570824,16.941175
