Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag
Drug_Perturbations_from_GEO_down,ZINC ACETATE 11192 human GSE2964 sample 3589,2/189,0.538072237900033,0.7249376352482615,0,0,1.116338605074525,0.6918647563278246,CYFIP2;RAP1A,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,imatinib DB00619 human GSE1418 sample 2521,3/298,0.5403035975010828,0.7256937035988269,0,0,1.061270733254781,0.6533438185938423,LGALS1;SERPINE2;PSMF1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,N-NITROSODIMETHYLAMINE 6124 rat GSE5509 sample 3569,3/298,0.5403035975010828,0.7256937035988269,0,0,1.061270733254781,0.6533438185938423,PGRMC1;SH3BP5;HSD17B6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3322,3/299,0.5425706430420711,0.7269377786651807,0,0,1.057631160572337,0.6466748074870762,EGR2;FILIP1;GPM6B,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Triiodothyronine-[13C6] hydrochloride (T3 thyronine) 53442265 human GSE29159 sample 3044,3/300,0.5448312913653867,0.7269377786651807,0,0,1.0540160967968455,0.6400819354433951,ALDH1B1;PEG10;ALDH1A1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,"doxorubicin, EC50, 1 d 31703 human GSE6930 sample 3260",3/300,0.5448312913653867,0.7269377786651807,0,0,1.0540160967968455,0.6400819354433951,TAGLN;SERPINE2;CSRP1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,decitabine DB01262 human GSE29077 sample 2540,3/300,0.5448312913653867,0.7269377786651807,0,0,1.0540160967968455,0.6400819354433951,LDHB;TPM2;ALDH1A1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Mehp 20393 rat GSE4514 sample 3579,3/301,0.5470855089148771,0.7269377786651807,0,0,1.0504252951943438,0.6335641904841087,FYCO1;DYNC1LI2;HAGH,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,lapatinib DB01259 human GSE38376 sample 2585,3/301,0.5470855089148771,0.7269377786651807,0,0,1.0504252951943438,0.6335641904841087,PGRMC1;LGALS1;FAM83D,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,PLX4720 CID 24180719 human GSE50791 sample 2505,3/301,0.5470855089148771,0.7269377786651807,0,0,1.0504252951943438,0.6335641904841087,LDHB;SERPINE2;KLK6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,cetuximab DB00002 human GSE61495 sample 3136,5/518,0.5484628888418307,0.7276553441275585,0,0,1.016648227174543,0.610635179846443,DYNC1LI2;NUBPL;SLMAP;FILIP1L;LPP,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,vancomycin DB14969 mouse GSE7793 sample 3398,3/302,0.5493332626372315,0.7276990933410886,0,0,1.046858512331658,0.6271205770256107,MAL;LPL;DYNLRB1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,quercetin DB04216 mouse GSE38136 sample 3436,3/303,0.5515745204354691,0.7284472010006422,0,0,1.0433155080213905,0.6207501146963482,FN1;HSD17B6;HAGH,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Atorvastatin DB01076 human GSE11393 sample 3196,3/303,0.5515745204354691,0.7284472010006422,0,0,1.0433155080213905,0.6207501146963482,FYCO1;SERPINE2;LPL,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,"doxorubicin, 2xEC50, 1 d 31703 human GSE6930 sample 3263",3/304,0.5538092507557529,0.7291821801617414,0,0,1.0397960452680015,0.6144518388266467,TAGLN;BAG2;CSRP1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,NICKEL 935 human GSE6281 sample 3480,3/304,0.5538092507557529,0.7291821801617414,0,0,1.0397960452680015,0.6144518388266467,AZGP1;PLP1;KLK6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Methylphenidate DB00422 mouse GSE33619 sample 2499,3/306,0.5582590067743716,0.7339290119318137,0,0,1.032826812092974,0.6020680620274722,BAG2;ALDH1A1;KLK6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3312,3/308,0.5626822928118143,0.7386267559720039,0,0,1.025948978697291,0.5899618251525611,GPM6A;SEMA3C;LPIN1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,MK-886 CID 3651377 human GSE3202 sample 3192,4/418,0.5637641614508616,0.7389307033194551,0,0,1.007532076255779,0.5774360464237066,SH3BGRL;PGRMC1;DSTN;FAM83D,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3383,3/309,0.5648839382871778,0.7392833469451167,0,0,1.0225437768690364,0.584010527627076,NR4A1;LPIN1;AURKB,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,"3,3',4,4'-Tetrachlorobiphenyl 36187 human GSE6878 sample 3272",3/310,0.5670788821510988,0.7395824865173227,0,0,1.0191607587660472,0.578125934881116,PGRMC1;PEG10;CTNNAL1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,imatinib DB00619 human GSE22433 sample 2526,2/200,0.5687488526635092,0.7395824865173227,0,0,1.0537287771330324,0.5946363521268752,EGR2;PLAT,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,PLX4032 DB05238 human GSE54711 sample 2556,3/311,0.5692670976437026,0.7395824865173227,0,0,1.0157997083130772,0.5723071822827497,BAG2;TNC;CTNNAL1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,carboplatin DB00958 human GSE7035 sample 3060,4/422,0.5713131721588208,0.7395824865173227,0,0,0.997684827905541,0.5585216826027661,LGALS1;SCRN1;S100A6;CTNNAL1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,bleomycin DB00290 human GSE3598 sample 3588,3/312,0.5714485588441175,0.7395824865173227,0,0,1.0124604122319714,0.5665534181467343,MME;VIM;MT3,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,pyrazinamide 1046 mouse GSE48027 sample 3325,2/201,0.5714640623664333,0.7395824865173227,0,0,1.048380198866674,0.5866249990728084,SERPINE2;SERPINB9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,lapatinib DB01259 human GSE16179 sample 2580,1/89,0.5731930496952604,0.7395824865173227,0,0,1.1857864357864358,0.6599289368653927,S100A6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,imatinib DB00619 human GSE1922 sample 2512,3/313,0.5736232404058407,0.7395824865173227,0,0,1.0091426599965498,0.5608638039606524,FN1;SERPINB9;VIM,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,rituximab DB00073 human GSE15490 sample 2577,3/313,0.5736232404058407,0.7395824865173227,0,0,1.0091426599965498,0.5608638039606524,NR4A2;FGFBP2;MAP3K7CL,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Lapatinib DB01259 human GSE38376 sample 3252,3/313,0.5736232404058407,0.7395824865173227,0,0,1.0091426599965498,0.5608638039606524,PGRMC1;MAL;FBXO32,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,apratoxin A 6326668 human GSE2742 sample 3066,2/203,0.5768574650920962,0.7426505735778246,0,0,1.0378427013866836,0.570979613825491,LDHB;ALDH1A1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,folic acid DB00158 human GSE17635 sample 2748,3/315,0.5779521665298314,0.7427971495417341,0,0,1.0025709584533111,0.5496737350071619,SPARC;NUBPL;CES1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,CasIIgly 144221079 human GSE41827 sample 3130,4/426,0.578789720127592,0.7427971495417341,0,0,0.9880242572491464,0.5402675167591591,ACTC1;MCAM;FAM83D;MYL9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Retinoic acid 444795 human GSE54464 sample 3140,2/204,0.5795356356608696,0.7427971495417341,0,0,1.032652201390352,0.5633408184647958,SOX2;PLLP,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Gefitinib DB00317 human GSE53180 sample 3474,4/427,0.580647374232306,0.7431260209247037,0,0,0.9856376623706754,0.5358041015712758,PLAT;ITGA6;VIM;SOX4,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,rosiglitazone DB00412 mouse GSE10192 sample 2812,3/317,0.582253686458218,0.744085961076752,0,0,0.9960829728532988,0.5387305184693637,PLLP;EFHD1;IL17B,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,NICKEL 935 human GSE6281 sample 3479,3/318,0.5843941126559542,0.7441272053551162,0,0,0.9928698752228164,0.5333495152262211,EGR2;SERPINB9;KLK6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,motexafin gadolinium DB05428 human GSE2964 sample 3591,3/318,0.5843941126559542,0.7441272053551162,0,0,0.9928698752228164,0.5333495152262211,CYFIP2;RGCC;SERPINB9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
