leiden,pct_counts_mt
12,2.9411764
10,2.785537
5,2.4330196
14,2.1032395
11,1.9021739
16,1.5524583
1,1.5384616
4,1.5352341
15,1.4705882
6,1.3614709
3,1.1787071
2,1.1129036
19,1.0570824
7,1.0474861
9,0.8039135
0,0.78740156
8,0.4626736
18,0.10974631
17,0.048559405
13,0.0
